"Email was successfully sent.","Email was successfully sent."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"You deleted the message.","You deleted the message."
"We can't find a message to delete.","We can't find a message to delete."
"This message no longer exists.","This message no longer exists."
"Edit Message","Edit Message"
"You saved the message.","You saved the message."
"Scan Barcode","Scan Barcode"
"You deleted the model.","You deleted the model."
"We can't find a model to delete.","We can't find a model to delete."
"This model no longer exists.","This model no longer exists."
"Edit Model","Edit Model"
Model,Model
"You saved the model.","You saved the model."
Modelcategory,Modelcategory
"You deleted the category.","You deleted the category."
"We can't find a category to delete.","We can't find a category to delete."
"This category no longer exists.","This category no longer exists."
"Edit Category","Edit Category"
Categories,Categories
"You saved the category.","You saved the category."
Reply,Reply
"You deleted the replies.","You deleted the replies."
"We can't find a replies to delete.","We can't find a replies to delete."
"Message Reply list","Message Reply list"
"Select a option","Select a option"
"Your IP was blocked in our blacklist. So, we will not allow submit the form.","Your IP was blocked in our blacklist. So, we will not allow submit the form."
". ' - The file is too big.'",". ' - The file is too big.'"
"Please check reCaptcha and try again.","Please check reCaptcha and try again."
"An error when send email. We can't process your request right now. Sorry, that's all we know.","An error when send email. We can't process your request right now. Sorry, that's all we know."
"Errors when send emails. We can't process your request right now. Sorry, that's all we know.","Errors when send emails. We can't process your request right now. Sorry, that's all we know."
"An error when send thanks you email. We can't process your request right now. Sorry, that's all we know.","An error when send thanks you email. We can't process your request right now. Sorry, that's all we know."
"Errors when send thanks you emails. We can't process your request right now. Sorry, that's all we know.","Errors when send thanks you emails. We can't process your request right now. Sorry, that's all we know."
"An error when send a thanks you email. We can't process your request right now. Sorry, that's all we know.","An error when send a thanks you email. We can't process your request right now. Sorry, that's all we know."
"An error when send a thanks you emails. We can't process your request right now. Sorry, that's all we know.","An error when send a thanks you emails. We can't process your request right now. Sorry, that's all we know."
"One or more emails in form were blocked in our blacklist. So, we will not allow submit the form.","One or more emails in form were blocked in our blacklist. So, we will not allow submit the form."
"Please Select","Please Select"
"State / Province / Region","State / Province / Region"
"Invalid parameters.","Invalid parameters."
"Invalid form profile.","Invalid form profile."
"Invalid form Id or field id or empty FILES.","Invalid form Id or field id or empty FILES."
"Page not found.","Page not found."
"Form Messages","Form Messages"
"View Form Message","View Form Message"
"Scan Barcode for Form","Scan Barcode for Form"
"""%1"" invalid type entered.","""%1"" invalid type entered."
Blocked,Blocked
"Un Blocked","Un Blocked"
Bootstrap,Bootstrap
Foundation,Foundation
dd/mm/yyyy,dd/mm/yyyy
mm/dd/yyyy,mm/dd/yyyy
mm-dd-yy,mm-dd-yy
Popup,Popup
Animation,Animation
"Button Link","Button Link"
"Show on current page","Show on current page"
List,List
Grid,Grid
"Slide 1","Slide 1"
Left,Left
Right,Right
"Make sure that static form content does not reference the form itself.","Make sure that static form content does not reference the form itself."
